,Datetime,nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2020-10-09 12:48:57.038469,82.531784,402.7589,77.32222,398.9995,76.90789,403.61823,71.20747,369.83606,74.2786,396.00754,94.777,344.95966,101.01961,391.05884,144.88022,320.66104,153.96266,412.34915,176.4931,318.79596,193.48596,418.08823,176.36899,336.41055,174.27924,364.29236,249.65402,341.31067,253.37871,366.58264,316.09897,350.88617,316.64197,352.6762
2,2020-10-09 12:48:59.043938,93.06317,342.52283,88.71637,346.7328,88.18463,337.71786,89.61396,351.2585,87.41979,330.2301,117.08424,363.54556,117.4902,316.94116,154.16302,375.29272,150.82016,305.15833,189.44672,379.11868,185.6213,298.26956,185.84464,352.0,184.36195,322.9807,242.46918,348.46918,242.05971,324.14398,297.19525,340.67657,297.01617,319.51553
3,2020-10-09 12:49:01.020963,94.82353,334.90195,90.018555,338.52002,90.04444,330.90222,88.53011,347.85693,89.383835,324.58484,116.59055,361.73492,118.20508,317.31668,154.05325,372.9738,151.9054,305.07422,188.25407,374.81982,184.80392,299.212,184.894,350.96487,183.93454,322.96185,244.84856,347.9506,241.23868,320.7133,296.31775,348.53897,294.0278,318.7014
4,2020-10-09 12:49:03.041877,95.21568,336.47058,90.39445,340.07907,90.75283,332.2048,89.204636,348.79367,89.1086,325.5242,117.72602,361.78705,118.22925,317.3619,156.63277,372.38123,152.96396,305.39493,189.47574,374.06168,186.34074,299.4533,185.13217,351.47632,184.1073,323.0112,244.61372,348.1214,241.1109,320.67676,295.9503,348.34296,293.8966,319.14267
5,2020-10-09 12:49:05.024539,95.21568,336.07843,90.60289,339.4018,90.72303,331.67554,88.84994,348.27963,89.172646,325.1028,116.79224,361.6072,117.81803,317.184,154.3148,372.56772,152.25128,304.3795,188.30965,374.93228,185.39142,299.09354,185.2149,350.95245,183.92099,322.3984,244.15974,348.13037,240.65428,321.005,295.1823,346.2928,293.35364,319.6015
6,2020-10-09 12:49:07.050635,94.039215,337.2549,89.73129,341.79108,89.9499,333.98795,89.407,349.26447,88.82674,326.8741,117.56976,361.98828,118.03766,317.5686,155.77316,372.8796,152.82077,306.27866,188.89932,374.3167,186.17265,299.64508,185.28981,351.61856,183.96878,322.91092,244.34436,348.07645,241.67719,321.27774,295.71677,348.34885,293.8775,319.63745
7,2020-10-09 12:49:09.045347,90.90196,350.90195,86.736496,353.62265,86.521774,345.39334,86.410965,361.46295,85.60288,337.98578,117.102646,372.58795,115.745186,325.3643,158.39146,383.51892,150.45276,312.81522,192.53256,383.05804,183.1915,307.6828,188.60011,360.52505,186.4391,327.9275,246.92706,353.01254,246.12732,325.8606,296.3811,350.81415,300.3499,322.96292
8,2020-10-09 12:49:11.021650,64.0,332.15686,58.29913,336.26846,58.809334,325.5814,55.225174,344.20477,59.07584,315.52127,94.879654,362.95062,94.433464,302.5058,141.61093,378.61282,137.14278,284.04376,182.47368,382.54715,175.97958,280.99918,178.48569,354.06036,176.18083,317.27362,251.23216,352.59024,252.76033,317.4097,327.60068,355.54025,321.65457,324.1394
9,2020-10-09 12:49:13.032083,47.818863,344.23315,41.91269,349.51373,42.545494,337.82782,40.931286,356.0528,43.433117,325.49014,82.11018,377.01245,82.7451,308.70587,132.45865,391.2003,131.05658,292.326,181.7117,391.94077,181.08418,288.58658,176.37305,363.3754,173.74846,319.1705,270.52795,356.864,264.78845,318.6795,335.59622,356.9562,330.606,319.39975
10,2020-10-09 12:49:15.001971,47.76643,341.3723,41.652515,347.82178,42.126266,335.89734,41.015835,357.33344,43.512527,326.05798,81.10145,377.4364,81.56863,309.4902,129.84572,393.27014,129.51277,291.72235,181.2,397.57663,177.84142,286.30865,174.79253,361.79697,173.30507,319.47452,267.62744,358.2707,264.1953,318.64612,333.09097,357.11905,331.9706,318.97473
11,2020-10-09 12:49:17.033083,45.22727,342.6829,39.58224,347.8152,40.16171,336.2257,39.560787,357.29474,42.836178,326.0601,80.96228,377.44138,82.84503,310.73322,131.39555,393.03638,131.83295,293.46536,182.70668,397.2584,179.85068,289.6111,175.51129,361.78934,173.28444,319.16632,267.8585,357.94183,264.34836,318.6098,330.19608,346.19608,331.4177,319.34265
