,Datetime,nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y,label
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2020-10-14 11:00:40.067160,278,36,283,28,271,29,294,31,262,32,318,74,247,77,331,124,233,132,340,177,227,177,303,193,259,195,298,265,258,266,302,341,257,335,None
2,2020-10-14 11:00:41.011048,295,36,302,29,288,29,310,35,281,35,336,77,266,78,347,126,253,133,354,177,250,181,321,185,278,190,315,269,269,269,311,327,263,327,None
3,2020-10-14 11:00:42.028377,307,37,315,30,301,30,326,37,294,35,346,81,273,78,354,134,257,132,354,185,251,178,320,190,277,189,314,267,259,267,310,327,252,325,None
4,2020-10-14 11:00:43.042553,217,30,224,24,211,25,238,27,205,31,262,70,191,79,280,117,194,134,290,169,0,0,260,176,216,180,281,267,210,262,291,328,212,329,move right
5,2020-10-14 11:00:44.043494,297,9,304,3,289,3,315,9,279,7,339,60,255,59,353,124,239,127,359,187,0,0,320,190,270,190,318,276,271,291,308,346,0,0,move left
6,2020-10-14 11:00:45.007849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,401,73,225,38,416,167,205,122,353,178,269,175,339,325,247,303,0,0,0,0,move right
7,2020-10-14 11:00:46.096582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,348,0,76,9,384,111,0,0,310,166,160,190,317,311,0,0,0,0,0,0,None
8,2020-10-14 11:00:47.002579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,379,47,146,43,400,141,90,157,330,185,216,191,312,380,227,339,0,0,0,0,None
9,2020-10-14 11:00:48.021656,0,0,0,0,0,0,0,0,0,0,321,28,216,26,339,98,186,94,349,177,173,159,299,194,227,192,291,316,239,313,0,0,0,0,move left
