,Datetime,nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y,label
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2020-10-14 13:22:49.251305,340,48,345,42,338,40,0,0,316,26,317,72,288,61,0,0,273,117,266,178,263,177,298,188,295,189,296,268,295,269,281,336,288,341,None
2,2020-10-14 13:22:50.011533,289,32,296,26,282,26,306,29,273,31,329,74,255,78,339,127,237,128,339,179,222,175,313,186,267,192,312,267,258,269,308,331,256,332,None
3,2020-10-14 13:22:51.007870,302,36,308,31,296,30,317,35,288,34,341,79,267,78,350,129,252,128,351,182,242,175,324,181,283,184,315,262,281,261,301,329,285,328,None
4,2020-10-14 13:22:52.040884,302,36,307,30,296,31,317,36,288,36,341,79,267,79,350,128,254,131,350,181,252,177,323,182,281,186,313,265,284,265,301,327,283,327,None
5,2020-10-14 13:22:53.009712,302,36,307,31,295,31,317,35,287,35,342,79,268,79,351,128,255,131,351,180,253,178,324,181,282,185,314,265,285,265,300,328,284,327,None
6,2020-10-14 13:22:54.032932,304,22,311,15,298,16,324,23,291,25,348,72,270,74,354,127,256,127,358,186,249,179,333,185,282,186,320,269,283,267,314,331,296,330,None
7,2020-10-14 13:22:55.009333,304,0,313,0,296,0,327,0,282,0,348,55,260,55,363,114,248,113,367,178,235,178,333,185,276,189,326,291,276,286,0,0,289,366,None
8,2020-10-14 13:22:56.003721,0,0,0,0,0,0,315,0,0,0,351,26,248,29,370,89,228,94,375,166,214,172,340,173,267,177,333,302,272,295,0,0,0,0,None
9,2020-10-14 13:22:57.018330,0,0,0,0,0,0,0,0,0,0,369,23,263,22,385,88,239,95,388,175,228,171,353,179,274,174,337,305,276,305,0,0,0,0,None
10,2020-10-14 13:22:58.021034,0,0,0,0,0,0,0,0,0,0,373,27,265,24,389,92,246,90,391,172,231,168,354,178,278,175,338,305,278,300,0,0,0,0,None
11,2020-10-14 13:22:59.039016,292,0,302,0,286,0,319,0,273,0,341,47,251,50,357,106,234,113,364,174,223,182,331,179,269,184,328,291,275,283,308,385,282,395,None
12,2020-10-14 13:23:00.035355,301,16,307,11,293,11,318,19,284,19,342,67,263,71,354,119,252,124,361,176,241,181,327,182,276,186,325,271,280,272,324,344,284,341,None
13,2020-10-14 13:23:01.011932,314,36,321,30,308,29,332,36,301,33,352,80,279,78,358,132,266,130,358,185,258,175,335,186,289,186,321,266,288,262,320,333,290,328,None
14,2020-10-14 13:23:02.026154,302,39,307,34,296,34,317,39,287,41,340,81,269,84,351,129,258,134,352,182,254,182,324,186,284,189,320,267,286,267,317,330,290,328,None
15,2020-10-14 13:23:03.008386,310,33,316,27,304,26,326,31,295,32,350,78,275,77,356,131,262,127,356,185,254,181,332,188,287,188,321,269,284,267,316,333,290,331,None
16,2020-10-14 13:23:04.045964,303,0,311,0,295,0,323,0,279,0,349,48,256,49,367,109,238,109,371,178,227,175,337,185,275,188,329,292,282,296,0,0,293,391,move advance
17,2020-10-14 13:23:05.040322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,410,54,212,50,416,162,184,172,360,189,258,191,358,336,277,328,0,0,0,0,move right
18,2020-10-14 13:23:06.825819,0,0,0,0,0,0,0,0,283,105,265,115,283,117,251,135,282,136,0,0,0,0,261,163,275,162,0,0,0,0,0,0,0,0,move left
19,2020-10-14 13:23:07.001525,0,0,0,0,0,0,0,0,285,110,265,118,285,122,250,138,288,143,0,0,0,0,260,162,277,163,0,0,0,0,0,0,0,0,move left
20,2020-10-14 13:23:08.093997,0,0,0,0,0,0,0,0,270,126,250,141,281,142,242,165,286,165,0,0,0,0,254,186,278,183,0,0,0,0,0,0,0,0,move left
21,2020-10-14 13:23:09.019758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,217,116,201,0,0,0,0,102,217,108,217,108,243,113,241,105,273,106,272,move right
22,2020-10-14 13:23:10.007681,0,0,0,0,0,0,0,0,268,126,246,143,280,143,0,0,287,168,0,0,0,0,251,191,276,187,0,0,0,0,0,0,0,0,None
