,Datetime,nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y,label
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2020-10-14 13:44:42.950437,0,0,0,0,0,0,4,21,16,18,35,123,0,0,47,288,45,286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None
2,2020-10-14 13:44:43.086441,25,29,0,0,29,19,3,22,15,19,36,123,0,0,47,295,47,291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None
3,2020-10-14 13:44:44.040698,0,0,0,0,30,34,0,32,13,28,38,124,33,117,51,299,48,296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None
4,2020-10-14 13:44:52.651043,281,135,0,0,277,131,0,0,269,129,280,146,253,148,0,0,250,165,0,0,0,0,266,188,259,191,0,0,0,0,0,0,0,0,move left
5,2020-10-14 13:44:53.132850,296,130,0,0,294,123,0,0,283,125,312,144,275,141,0,0,267,162,0,0,289,162,0,0,282,183,0,0,0,0,0,0,0,0,move left
6,2020-10-14 13:44:54.043098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280,37,144,82,325,196,0,0,232,186,144,180,0,0,143,328,0,0,0,0,None
7,2020-10-14 13:44:55.042314,302,1,0,0,299,0,0,0,276,0,235,26,273,32,272,100,274,99,295,182,295,182,221,190,246,192,220,283,281,291,203,395,0,0,move left
8,2020-10-14 13:44:56.009329,301,27,308,19,294,18,316,23,282,22,334,74,257,66,348,125,238,116,369,181,221,172,312,184,268,183,301,269,261,273,294,334,259,334,move left
9,2020-10-14 13:44:57.035684,259,30,266,23,252,24,277,26,246,28,299,70,228,74,322,115,211,120,350,171,182,167,286,191,239,190,288,271,245,268,285,337,259,333,None
