,Datetime,nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2020-10-09 12:58:54.024454,47.38491,335.38428,42.21921,341.44003,41.510178,332.241,44.02422,348.68448,41.773018,324.24982,84.54852,366.9242,83.098274,299.63858,137.73433,382.37622,129.85881,285.1409,185.77905,381.40317,175.74211,284.68207,179.31627,346.42224,177.96078,310.2745,260.1773,341.18866,257.02197,297.56592,323.08054,340.3062,322.79056,296.46765
2,2020-10-09 12:58:56.006351,47.53331,325.89304,42.029938,330.6863,42.224403,321.52435,43.71845,336.67563,44.57932,312.30048,83.37473,359.84134,85.882355,291.13727,132.96053,375.67,133.25899,276.8209,181.72905,373.71082,180.94485,273.61032,178.67763,343.63046,175.29582,302.3658,266.99286,338.63455,266.6284,300.21756,327.4307,341.00534,330.8702,302.40555
3,2020-10-09 12:58:58.046401,52.751495,322.0323,45.78634,327.70273,46.129227,317.1305,45.123676,337.2847,46.27947,309.99524,84.112335,359.68365,88.54902,290.35294,132.77348,374.5885,133.39087,277.18378,182.07375,371.57306,179.9415,273.032,178.44873,342.22186,174.22878,301.71445,266.36887,338.24725,266.36246,300.00592,328.8068,340.55164,331.22446,303.1499
4,2020-10-09 12:59:00.007135,51.4811,323.5236,44.71925,329.8171,45.525906,317.95276,44.627304,338.63077,46.826664,309.72623,84.81545,359.2181,87.05882,292.31372,134.7352,374.2027,134.87914,278.0269,181.52077,371.3305,180.70288,273.31528,178.2787,342.48785,173.89105,301.12622,265.05402,338.67313,266.39703,300.1546,328.32288,340.3859,330.7617,302.57974
5,2020-10-09 12:59:02.025623,52.04695,323.10602,45.478092,329.42853,45.82387,317.85666,45.785927,337.80286,47.521885,309.9231,84.39032,359.10727,87.05882,291.92157,132.0192,374.933,134.45381,277.72766,179.39351,374.45587,178.88736,272.7308,177.44621,342.11786,173.34047,302.07968,266.06308,338.3316,266.90103,299.43848,328.75174,340.88208,331.9361,302.8576
6,2020-10-09 12:59:04.045319,50.78474,325.0985,44.754696,331.5489,44.91587,319.34732,46.356937,339.1338,46.67516,311.32794,86.20982,359.37408,87.05882,294.2745,135.69217,374.461,136.85452,278.26456,181.93854,371.5671,180.18372,273.84113,180.29195,343.14035,177.6398,303.01593,267.2433,338.45944,266.94702,300.58228,327.47488,340.63348,330.10724,302.63458
7,2020-10-09 12:59:06.045500,64.67905,306.43033,58.220985,311.45978,59.10596,301.8962,58.008087,319.7844,60.624218,294.99774,93.94,339.5485,97.61522,281.91882,136.93216,354.92548,140.47058,263.7647,179.3957,357.74435,184.19276,260.50137,182.82909,333.65823,182.47781,294.29266,257.65616,334.64362,260.31964,293.1694,315.6581,323.976,320.05737,302.04587
8,2020-10-09 12:59:08.023335,90.322845,333.11258,85.46526,328.4186,83.943504,340.7961,84.1943,316.48877,85.16104,341.38824,113.07318,302.60284,112.5158,354.54056,154.23306,361.57217,154.00565,366.33078,192.0,358.66666,193.28659,354.81094,189.1539,337.13608,187.09265,306.58603,246.65306,337.77444,244.57501,302.92914,299.84128,336.0019,303.19525,300.65372
9,2020-10-09 12:59:10.007413,95.60784,318.90195,90.21942,322.63297,90.23388,314.83163,88.42106,331.58344,87.53779,308.51617,116.887726,344.90167,117.88185,299.2571,152.35529,357.10992,151.6846,286.39267,189.0874,354.3137,185.47737,281.53555,186.93784,333.6726,185.4855,304.98767,243.32387,330.80792,243.53076,304.49088,297.10703,333.82907,296.3781,304.2288
10,2020-10-09 12:59:12.016481,94.039215,319.29413,89.57589,323.06546,89.59168,315.20758,88.42106,332.0514,87.84499,309.0283,116.84807,345.23322,117.65112,300.07706,153.01993,357.05524,151.09184,287.4737,188.37819,355.6667,184.27713,282.99307,187.19743,333.8662,185.59624,304.75192,244.42134,331.3342,244.81258,303.3829,297.01608,332.72797,296.18607,304.27878
11,2020-10-09 12:59:14.026732,95.21568,319.29413,90.10528,323.16013,89.99211,315.42834,88.5192,332.27185,88.22468,309.16025,117.36062,344.92737,117.89756,300.08035,153.28058,355.9677,152.00015,287.99985,188.58467,354.85724,184.76881,283.3556,188.03726,333.11893,186.54498,304.33777,244.87004,331.3471,246.21783,303.39447,297.0508,333.14056,296.18616,304.01016
